index	year	y1	y2	y3	y4	y5	b	x1	x2	x3	x4	x5	e	w1	w2	w3	w4	w5	TA
1781	2008	744396.1820468874	6780348.33375615	2174095.16997465	1906944.861222048	76546	413407	2497.5	236952.8239183274	3509163.341995962	1035156.093935916	7308431.112080702	1583965.5	73.54735224352561	.2228314620965764	.0303964151955096	.0100763149321578	.0265039935047028	12855901.59667398
1781	2009	391745.3089752952	6246216.619818617	1721584.31136888	1902941.76073553	27755	409511	2284.25	236423.1611038266	2426011.858047177	962176.8034208402	7156441.411321077	1391697.3	66.24191111270957	.2136220521051982	.0243073282874028	.0028556746578784	.0185543018814375	11390803.82631394
1816	2001	33457.2921377445	1259273.06839841	33938.30439819203	313861.1978704212	11552	5479	514	21556.2168836075	589262.3527573524	19996.76564341024	839969.4046275185	118486	56.89664479364903	.4636922877679208	.0498475663921204	.0307696603331053	.0405797005113343	1700011.509509499
1816	2002	29841.67285409442	1270613.182038783	35372.50935011596	387129.6787589119	14653	9830	544	23049.82851981826	620299.2629119281	25213.34639655584	911863.6710459903	134748.75	55.97121412379283	.4439979672154397	.0394477040368197	.0153854464912755	.0221071323583889	1783649.957741974
1816	2003	47995.46509522709	1475831.117008421	44880.0622649808	390734.0952902438	20073	12830	608.25	31509.91415152603	739215.7566174421	17272.07735880994	1056146.121717642	156352.25	55.97627589305436	.4117163603704363	.0292387227074315	.0052555105573933	.0163351646143225	2058617.822679575
1816	2004	52635.23200317656	1637607.032343654	49843.02438710733	500703.6919670585	13371	6134	583.25	33796.61437144364	889261.5478620302	19142.69131457097	1165885.92840479	153365.5	60.53433164278109	.4130898416896628	.029779244182888	.0116603911089518	.015256779541397	2353324.14475952
1816	2005	37213.5	1813472.75	65577.25	533137.5	14554	5929	643.5	30076.75	1087661.75	27981	1177697.25	178786.25	56.78943278943279	.4335242338351052	.0322443995111532	.0181551767270648	.0229125099850577	2584525.75
1816	2006	22745.1670335015	1994566.826102996	74936.86028245385	497018.366761029	15831	6393	663.25	29925.68241923988	1161257.8594273	29694.76082891509	1225340.673428299	203616.75	59.31261228673175	.5090120921743099	.0438177499768493	.0246351938379168	.028740682720566	2729488.56457655
1816	2007	25368.74882882473	2060622.162558759	88654.51944682041	531350.6180949383	19687	8993	717.75	30702.94196228458	1270935.523895903	26188.8713601252	1218922.280078453	231095	56.11386030882828	.5355428902774917	.0448544124520963	.0114135441917046	.0315530575432417	2847983.129559019
1816	2008	27126.29598826066	2018691.139546733	115604.8913998189	620359.9925842637	41258	13407	695.5	31637.11192935821	1237511.700139765	20327.9657910818	1419769.709010039	260433	67.96659067097595	.5600379264877998	.0363120715651641	.001245085945516	.0147487722148925	3014980.817202139
1816	2009	23888.80309230271	1930414.066739481	410827.068576748	422324.4730054276	30719	38341	743.5	31380.79406478176	1282000.276194958	22651.80698762625	1388184.89756984	274966.75	61.12921616367477	.6171265779547817	.0221570143035418	.008658531674117	.0103855224345258	2966724.201794214
1816	2010	25108.2073768553	1811028.479615015	522519.2720662705	470614.3567949747	72211	26241	724.5	29424.48883848616	1066525.93342866	144042.1172191617	988111.9873858742	343036.25	66.19486967159126	.6385567955970035	.0214698101620338	.0031917302332118	.0079014764734631	2826374.875975285
1820	2001	68972.35640071171	594553.4876222751	168768.3022896833	114592.5865321752	12278	4983	336.75	20887.32229508036	194264.4646356796	17345.19602661941	564081.9332242209	75895.25	58.50868061455044	.2125663267351876	.047434760677779	.0267177415460881	.0413351163391499	1004829.307818963
1820	2002	61217.31311739425	653163.3773226083	172529.7902875338	159457.4240887166	15113	5996	361.25	22858.0485418249	195099.3516181443	14366.88105027236	640656.2717123368	94840.25	61.18981808073725	.2257207212575528	.0313941230268716	.0138038263903373	.0250722009994183	1107753.025414391
1820	2003	49881.68679337517	681880.4905786461	199515.2669848212	178743.0669844371	17356	4835	381.25	25114.11415140777	173189.0584937684	16020.2028304849	676749.9141634569	109181.5	64.66370553784894	.2455696471663814	.0256268749209951	.0087326056161987	.0177195804204081	1171072.955682031
1820	2004	38836.95213879292	727976.1645807186	197243.0650758139	168509.2646063049	16521	5567	407.5	24227.72300471632	209104.7805166174	16880.86880544011	656257.6609291162	119656.25	56.63459713066396	.2750693111537642	.0225600045465946	.0083866425882281	.0153718727167368	1199608.655713114
1820	2005	33101.75	786047.75	211113.75	165110.25	19597	4619	455.25	23257.75	228595.75	15175.75	692717.25	129763.75	55.19604612850082	.3058335393578485	.0267634022067339	.0117292390820882	.0215802334935358	1277644.25
1820	2006	33783.80427997791	816863.5454563879	231131.053520243	158552.1782203031	20793	6756	432.25	22006.55932801702	279690.6695908555	16680.00049057792	711396.0223263986	127285	59.71433867519964	.3108323730165766	.034922406277245	.0142681714519619	.0287584244359544	1330111.774106369
1820	2007	24719.63156683285	802463.3090719365	272290.7533048787	147725.3615570499	22272	3239	444.5	21604.05611230665	312321.4470734625	17164.71247029718	759844.5793919539	130803.5	56.97558184658544	.3434209812957441	.03883710691305	.0143024810983432	.0298771673293397	1336339.651569183
1820	2008	34006.8838950886	892991.3364174141	313748.9497401251	162169.0825773177	20920	4711	459.5	24691.13968921948	366143.8298522927	21673.14884916056	923870.3181737959	140240.5	56.22418714577739	.2889549065575793	.0314472171657821	.0097317286794044	.0175068603372815	1492865.878364772
1820	2009	32923.84635907397	942545.4198127005	312417.6883885795	200090.9617240318	23998	12668	463.5	25362.29716168224	346861.7810665645	25346.56103866921	1015207.081855244	143498.5	60.75885790663416	.2700500858743447	.0253529924223745	.0035270829584308	.01110548004536	1561451.927170008
1820	2010	33189.70778938249	1013389.337215004	312413.9816724634	210637.459332745	26452	18821	473.25	26625.09128395475	322772.6073334299	17229.58793766792	1107447.835475806	147850.25	64.19432383530418	.2813117745450859	.0179842554143354	.0056395394376126	.007813691630117	1643135.927084315
1897	2001	937754.7583518104	8647497.436786724	1419298.840248061	5388489.736403544	38196	10516	2386.5	117068.8365322736	5537534.302643967	77100.70983959166	8979397.571523702	1465841.3	55.10104588433734	.4023713228280362	.0488442755226585	.0532701854245647	.0211035377084618	17527607.43347559
1897	2002	936385.3564139594	9141101.936944531	1814549.417037188	7798833.326139532	41369	7500	2737.25	132093.9081377552	6169140.466441298	114332.7394087935	10832128.70326951	1611016.5	63.63791479923096	.4522829449371004	.036530740148881	.0461090157040369	.0107213241371984	20983805.69973409
1897	2003	961653.222659291	9305493.868096592	2258907.868909693	8442206.10581648	60485	11067	2890.25	154590.0849085188	6343262.652004083	156964.615097242	12436990.85494695	1835988.5	65.58632487681108	.4533167538814915	.0287741805632736	.0310788469257931	.0070379000142152	22419459.43532021
1897	2004	1445874.753783233	11189896.54435004	2692731.344551162	9336964.525829878	64453	17249	3634.5	216712.8229005573	5289754.39945696	212841.5024780187	16075344.80961259	2507633.5	62.73868313958823	.3949568812392263	.0298748231722549	.0252227014022997	.0067332219079455	27020902.26150023
1897	2005	1547802.75	32091440	3943848.750000001	12413819.25	541826	44617	8151.25	428694.25	15256381.25	427462.7499999999	29990429	10031593	64.24462505750651	.4044350956421739	.030394298123613	.0182378464556268	.0141696539252573	58611449.5
